time,n,p,k, soiltemp, soilmoisture, irrigation  
2.33, 30.62, 89,21,96, 78, off 
4.61, 30.56, 89,21,96, 78, off 
6.90, 30.56, 89,21,96, 78, off 
9.18, 30.56, 89,21,96, 77, off 
11.59, 30.50, 89,21,96, 77, off 
13.76, 30.50, 89,21,96, 77, off 
16.05, 30.44, 88,21,96, 77, off 
18.34, 30.38, 88,21,96, 78, off 
20.69, 30.38, 88,21,96, 77, off 
22.91, 30.38, 88,21,96, 77, off 
25.19, 30.31, 88,21,96, 77, off 
27.48, 30.31, 88,21,95, 77, off 
29.77, 30.25, 88,21,96, 77, off 
32.07, 30.25, 88,21,95, 77, off 
34.34, 30.19, 88,21,95, 77, off 
36.62, 30.12, 88,21,95, 77, off 
38.92, 30.06, 88,21,95, 77, off 
41.21, 30.00, 88,21,95, 77, off 
43.48, 29.94, 88,21,95, 77, off 
45.77, 29.94, 88,21,95, 77, off 
48.14, 29.88, 88,21,95, 77, off 
