time,n,p,k 
1.52, 52, 27,159 
2.91, 152, 49,159 
4.28, 152, 49,159 
5.78, 152, 49,159 
7.19, 152, 49,159 
8.69, 152, 49,159 
10.08, 152, 49,159 
11.47, 152, 49,159 
12.92, 152, 49,159 
14.33, 152, 49,159 
15.87, 152, 49,159 
17.27, 152, 49,159 
18.88, 152, 49,159 
20.54, 152, 49,159 
21.92, 152, 49,159 
23.33, 152, 49,159 
24.72, 152, 49,159 
26.08, 152, 49,159 
27.51, 152, 49,159 
28.90, 152, 49,159 
30.35, 152, 49,159 
31.79, 152, 49,159 
33.24, 152, 49,159 
34.74, 152, 49,159 
36.32, 152, 49,159 
37.73, 152, 48,158 
39.30, 48, 158,152 
40.77, 48, 158,151 
