fgmtime, soil_temp, soil_m, irrigation 
0, 32.3125, ,  
0, 32.375, 45, off 
0, 32.375, 45, off 
0, 32.375, 45, off 
0, 32.375, 45, off 
0, 32.375, 45, off 
0, 32.375, 45, off 
0, 32.375, 45, off 
0, 32.375, 46, off 
0, 32.375, 46, off 
0, 32.3125, 45, off 
0, 32.3125, 46, off 
0, 32.375, 46, off 
0, 32.3125, 45, off 
0, 32.3125, 45, off 
0, 32.3125, 45, off 
0, 32.3125, 45, off 
1, 32.3125, 46, off 
1, 32.3125, 46, off 
1, 32.3125, 45, off 
1, 32.3125, 45, off 
1, 32.3125, 45, off 
1, 32.3125, 45, off 
1, 32.3125, 45, off 
1, 32.25, 46, off 
1, 32.3125, 45, off 
1, 32.3125, 46, off 
1, 32.3125, 45, off 
1, 32.25, 45, off 
1, 32.3125, 45, off 
1, 32.3125, 45, off 
1, 32.25, 46, off 
1, 32.25, 46, off 
1, 32.25, 45, off 
1, 32.3125, 45, off 
2, 32.3125, 45, off 
2, 32.3125, 45, off 
2, 32.25, 46, off 
2, 32.25, 45, off 
2, 32.3125, 46, off 
2, 32.25, 45, off 
2, 32.25, 45, off 
2, 32.25, 45, off 
2, 32.25, 46, off 
2, 32.25, 46, off 
2, 32.25, 45, off 
2, 32.25, 45, off 
2, 32.25, 45, off 
2, 32.1875, 46, off 
2, 32.25, 45, off 
2, 32.25, 45, off 
2, 32.25, 45, off 
2, 32.25, 45, off 
3, 32.25, 46, off 
3, 32.1875, 45, off 
3, 32.25, 45, off 
3, 32.1875, 46, off 
3, 32.1875, 46, off 
3, 32.1875, 46, off 
3, 32.25, 45, off 
3, 32.1875, 45, off 
3, 32.1875, 45, off 
3, 32.1875, 45, off 
3, 32.25, 44, off 
3, 32.1875, 46, off 
3, 32.1875, 45, off 
3, 32.1875, 46, off 
3, 32.1875, 45, off 
3, 32.1875, 45, off 
3, 32.1875, 46, off 
4, 32.1875, 46, off 
4, 32.1875, 45, off 
4, 32.1875, 46, off 
4, 32.1875, 45, off 
4, 32.125, 45, off 
4, 32.1875, 45, off 
4, 32.1875, 46, off 
4, 32.1875, 45, off 
4, 32.1875, 45, off 
4, 32.1875, 45, off 
4, 32.1875, 45, off 
4, 32.1875, 45, off 
4, 32.1875, 46, off 
4, 32.125, 46, off 
4, 32.125, 45, off 
4, 32.125, 45, off 
4, 32.125, 46, off 
4, 32.125, 46, off 
5, 32.125, 45, off 
5, 32.125, 45, off 
5, 32.125, 45, off 
5, 32.125, 46, off 
