time, soil_temp, soil_m, irrigation 
0, 30.9375, ,  
0, 31.0625, 54, off 
0, 31.0625, 54, off 
0, 31.0625, 54, off 
0, 31.125, 55, off 
0, 31.125, 54, off 
0, 31.1875, 54, off 
0, 31.1875, 54, off 
0, 31.1875, 54, off 
0, 31.1875, 54, off 
0, 31.25, 54, off 
0, 31.25, 54, off 
0, 31.25, 55, off 
0, 31.25, 55, off 
0, 31.25, 54, off 
0, 31.25, 54, off 
0, 31.3125, 53, off 
1, 31.3125, 54, off 
1, 31.3125, 54, off 
1, 31.3125, 54, off 
1, 31.3125, 54, off 
1, 31.3125, 54, off 
1, 31.3125, 54, off 
1, 31.375, 55, off 
1, 31.3125, 54, off 
1, 31.3125, 55, off 
1, 31.375, 54, off 
1, 31.375, 54, off 
1, 31.375, 54, off 
1, 31.375, 54, off 
1, 31.375, 55, off 
1, 31.375, 54, off 
1, 31.375, 54, off 
1, 31.375, 53, off 
1, 31.375, 54, off 
2, 31.375, 55, off 
2, 31.375, 54, off 
2, 31.375, 55, off 
2, 31.4375, 54, off 
2, 31.375, 54, off 
2, 31.375, 54, off 
2, 31.4375, 54, off 
2, 31.4375, 55, off 
2, 31.4375, 54, off 
2, 31.375, 54, off 
2, 31.4375, 54, off 
2, 31.4375, 54, off 
2, 31.4375, 54, off 
2, 31.4375, 54, off 
2, 31.375, 54, off 
2, 31.375, 54, off 
2, 31.4375, 54, off 
2, 31.4375, 54, off 
3, 31.4375, 54, off 
3, 31.4375, 54, off 
3, 31.4375, 54, off 
3, 31.4375, 55, off 
3, 31.4375, 54, off 
3, 31.4375, 54, off 
3, 31.4375, 54, off 
3, 31.4375, 54, off 
3, 31.4375, 54, off 
3, 31.4375, 54, off 
3, 31.4375, 54, off 
3, 31.4375, 55, off 
3, 31.4375, 54, off 
3, 31.4375, 54, off 
3, 31.4375, 53, off 
3, 31.4375, 54, off 
3, 31.4375, 55, off 
4, 31.4375, 55, off 
4, 31.4375, 54, off 
4, 31.4375, 54, off 
4, 31.4375, 54, off 
4, 31.4375, 53, off 
4, 31.4375, 54, off 
4, 31.4375, 55, off 
4, 31.4375, 54, off 
4, 31.4375, 54, off 
4, 31.5, 54, off 
4, 31.4375, 55, off 
4, 31.4375, 54, off 
4, 31.4375, 54, off 
4, 31.4375, 54, off 
4, 31.4375, 55, off 
4, 31.5, 54, off 
4, 31.5, 53, off 
4, 31.4375, 53, off 
5, 31.4375, 54, off 
5, 31.4375, 54, off 
5, 31.4375, 55, off 
5, 31.5, 54, off 
5, 31.4375, 54, off 
5, 31.4375, 54, off 
5, 31.4375, 54, off 
